source_account,agent_active_at_bet,market_id,question,category,outcome_bet,estimate_at_bet,market_price_at_bet,amount_mana,horizon_days_at_bet,resolved_outcome,resolved_at,realized_pnl_mana,platform
CalibratedGhosts,Archway,ENchIURR8A,Price of Gold by the end of April?,commodity_price,NO,0.289,0.321,40.0,0,N/A,2026-05-01T07:02:14.489000+00:00,0.0,manifold
CalibratedGhosts,Archway,ENchIURR8A,Price of Gold by the end of April?,commodity_price,NO,0.321,0.349,30.0,0,N/A,2026-05-01T07:02:14.489000+00:00,0.0,manifold
CalibratedGhosts,Archway,u6CUtyNhUU,Will ICE kill a US Citizen by the End of April 2026?,politics,NO,0.223,0.29,30.0,1,NO,2026-05-01T11:28:42.179000+00:00,8.61,manifold
CalibratedGhosts,Archway,llt8uhPPRA,"Will President Paul Biya of Cameroon appoint a Vice President before April 30, 2026?",geopolitics,YES,0.159,0.0902,120.0,0,NO,2026-04-30T11:54:46.614000+00:00,-120.0,manifold
CalibratedGhosts,Archway,qgQOAZh6tg,"Will the US national average gas price exceed $4.25/gallon on April 30, 2026?",economics,NO,0.5,0.671,30.0,1,YES,2026-04-30T23:07:22.984000+00:00,-30.0,manifold
CalibratedGhosts,Archway,UEOEIUEuyu,Will gas hit ___ by end of April?,economics,NO,0.744,0.87,50.0,0,MKT,2026-04-30T13:23:18.119000+00:00,-50.0,manifold
CalibratedGhosts,Archway,ENchIURR8A,Price of Gold by the end of April?,commodity_price,YES,0.203,0.149,20.0,1,N/A,2026-05-01T07:02:14.489000+00:00,0.0,manifold
CalibratedGhosts,Archway,590POQhAnz,Will the S&P 500 be greater than or equal to X at the end of April 2026?,economics,YES,0.882,0.863,25.0,1,MKT,2026-04-30T20:35:11.271000+00:00,3.34,manifold
CalibratedGhosts,Archway,UEOEIUEuyu,Will gas hit ___ by end of April?,economics,NO,0.722,0.8,30.0,1,MKT,2026-04-30T13:23:18.119000+00:00,-30.0,manifold
CalibratedGhosts,Archway,qgQOAZh6tg,"Will the US national average gas price exceed $4.25/gallon on April 30, 2026?",economics,NO,0.697,0.794,15.0,1,YES,2026-04-30T23:07:22.984000+00:00,-15.0,manifold
CalibratedGhosts,Archway,l5ttgczEut,"Will US average gas price reach $4.300 in April, 2026?",economics,NO,0.122,0.124,150.0,1,YES,2026-05-01T01:13:10.690000+00:00,-150.0,manifold
CalibratedGhosts,Archway,590POQhAnz,Will the S&P 500 be greater than or equal to X at the end of April 2026?,economics,YES,0.863,0.833,30.0,1,MKT,2026-04-30T20:35:11.271000+00:00,4.76,manifold
CalibratedGhosts,Archway,590POQhAnz,Will the S&P 500 be greater than or equal to X at the end of April 2026?,economics,YES,0.779,0.67,50.0,1,MKT,2026-04-30T20:35:11.271000+00:00,14.18,manifold
CalibratedGhosts,Archway,590POQhAnz,Will the S&P 500 be greater than or equal to X at the end of April 2026?,economics,YES,0.833,0.779,40.0,1,MKT,2026-04-30T20:35:11.271000+00:00,8.02,manifold
CalibratedGhosts,Archway,d6d6zngPcZ,Will the S&P500 be within 1% of all time high at the end of Apr 2026?,economics,YES,0.787,0.642,50.0,1,YES,2026-04-30T23:45:08.771000+00:00,13.53,manifold
CalibratedGhosts,Archway,lN860slzhS,"Will Trump invoke the Insurrection Act by April 30, 2026?",politics,NO,0.0706,0.0805,50.0,1,NO,2026-04-30T23:53:04.472000+00:00,3.8,manifold
CalibratedGhosts,Archway,d6d6zngPcZ,Will the S&P500 be within 1% of all time high at the end of Apr 2026?,economics,YES,0.893,0.79,75.0,4,YES,2026-04-30T23:45:08.771000+00:00,8.99,manifold
CalibratedGhosts,Archway,dNRgU9hUlA,2nd largest company end of April 2026?,economics,YES,0.1595,0.0776,80.0,4,N/A,2026-04-30T20:22:24.629000+00:00,0.0,manifold
CalibratedGhosts,Archway,UEOEIUEuyu,Will gas hit ___ by end of April?,economics,NO,0.138,0.142,10.0,4,MKT,2026-04-30T13:23:18.119000+00:00,-10.0,manifold
CalibratedGhosts,Archway,NyUUdhqRuZ,3rd largest company by the end of April?,economics,YES,0.2536,0.0954,30.0,4,N/A,2026-05-01T11:30:54.851000+00:00,0.0,manifold
CalibratedGhosts,Archway,S2lg9CppuR,3rd largest company end of April 2026?,economics,YES,0.1739,0.0902,80.0,4,N/A,2026-04-30T20:22:48.784000+00:00,0.0,manifold
CalibratedGhosts,Archway,590POQhAnz,Will the S&P 500 be greater than or equal to X at the end of April 2026?,economics,YES,0.858,0.844,15.0,4,MKT,2026-04-30T20:35:11.271000+00:00,2.48,manifold
CalibratedGhosts,Archway,S9ynE25Uz0,"Will the WTI Crude Oil Spot Price be above $88 on April 30, 2026?",commodity_price,YES,0.827,0.825,15.0,4,YES,2026-05-01T03:26:58.572000+00:00,3.14,manifold
CalibratedGhosts,Archway,dtQRCcupRl,goog ath april?,economics,YES,0.2827,0.1858,15.0,2,YES,2026-04-28T17:16:41.603000+00:00,38.06,manifold
CalibratedGhosts,Archway,Z550ZIUZA2,"Will gold close April 2026 above $4,500/oz?",commodity_price,YES,0.874,0.86,15.0,4,YES,2026-05-01T00:24:50.366000+00:00,2.16,manifold
CalibratedGhosts,Archway,sO82POICOd,"Will Mojtaba Khamenei be first shown alive on video between April 1st and May 1, 2026?",geopolitics,NO,0.144,0.146,15.0,4,NO,2026-05-01T00:23:28.156000+00:00,2.52,manifold
CalibratedGhosts,Archway,dZn659gSAO,"Will Ethereum (ETH) be below $2000 on April 30, 2026?",crypto,NO,0.083,0.087,10.0,4,NO,2026-05-01T00:20:29.707000+00:00,0.91,manifold
CalibratedGhosts,Archway,5ztuCIqnuL,Bitcoin 60000€ at the end of april?,crypto,YES,0.936,0.935,10.0,4,YES,2026-05-01T06:17:43.488000+00:00,0.68,manifold
CalibratedGhosts,Archway,ENchIURR8A,Price of Gold by the end of April?,commodity_price,YES,0.526,0.506,15.0,4,N/A,2026-05-01T07:02:14.489000+00:00,0.0,manifold
CalibratedGhosts,Archway,590POQhAnz,Will the S&P 500 be greater than or equal to X at the end of April 2026?,economics,YES,0.7791,0.7523,15.0,4,MKT,2026-04-30T20:35:11.271000+00:00,4.25,manifold
CalibratedGhosts,Archway,590POQhAnz,Will the S&P 500 be greater than or equal to X at the end of April 2026?,economics,YES,0.7095,0.6416,25.0,4,MKT,2026-04-30T20:35:11.271000+00:00,10.24,manifold
CalibratedGhosts,Archway,ENchIURR8A,Price of Gold by the end of April?,commodity_price,YES,0.5065,0.47,25.0,4,N/A,2026-05-01T07:02:14.489000+00:00,0.0,manifold
CalibratedGhosts,Archway,590POQhAnz,Will the S&P 500 be greater than or equal to X at the end of April 2026?,economics,YES,0.7523,0.7095,20.0,4,MKT,2026-04-30T20:35:11.271000+00:00,6.59,manifold
CalibratedGhosts,Archway,590POQhAnz,Will the S&P 500 be greater than or equal to X at the end of April 2026?,economics,YES,0.844,0.779,50.0,4,MKT,2026-04-30T20:35:11.271000+00:00,9.24,manifold
CalibratedGhosts,Archway,S9ynE25Uz0,"Will the WTI Crude Oil Spot Price be above $88 on April 30, 2026?",commodity_price,YES,0.79,0.787,20.0,7,YES,2026-05-01T03:26:58.572000+00:00,5.32,manifold
CalibratedGhosts,Archway,l0Ags8CEAQ,Who will be in the top five picks of the 2026 NFL Draft?,sports,YES,0.329,0.252,15.0,0,MKT,2026-04-24T04:24:45.819000+00:00,-15.0,manifold
CalibratedGhosts,Archway,Ch2c9hPQS0,ChatGPT 5.5 Release Week: Will 5.5 release before this date?,misc,NO,0.579,0.94,15.0,0,MKT,2026-04-23T18:42:28.994000+00:00,-15.0,manifold
CalibratedGhosts,Archway,LSssApLA0P,Will the DHS shutdown last at least 70 days?,politics,YES,0.892,0.856,50.0,0,YES,2026-04-25T04:52:00.787000+00:00,6.05,manifold
CalibratedGhosts,Archway,ydcs5zAZ0Z,Will Carlos Alcaraz win Roland Garros?,sports,NO,0.301,0.33,10.0,5,NO,2026-04-29T15:46:41.623000+00:00,4.31,manifold
CalibratedGhosts,Archway,d6d6zngPcZ,Will the S&P500 be within 1% of all time high at the end of Apr 2026?,economics,YES,0.673,0.615,15.0,7,YES,2026-04-30T23:45:08.771000+00:00,7.29,manifold
CalibratedGhosts,Archway,ydcs5zAZ0Z,Will Carlos Alcaraz win Roland Garros?,sports,NO,0.263,0.301,15.0,6,NO,2026-04-29T15:46:41.623000+00:00,5.35,manifold
CalibratedGhosts,Archway-A1,ASngSERUPP,"Will Brent Crude Oil close above $100 on April 24th, 2026?",commodity_price,YES,0.833,0.788,30.0,1,YES,2026-04-28T08:05:52.751000+00:00,6.01,manifold
CalibratedGhosts,Archway-A1,dtQRCcupRl,goog ath april?,economics,NO,0.357,0.529,40.0,5,YES,2026-04-28T17:16:41.603000+00:00,-40.0,manifold
CalibratedGhosts,Archway-A1,LSssApLA0P,Will the DHS shutdown last at least 70 days?,politics,YES,0.856,0.81,40.0,0,YES,2026-04-25T04:52:00.787000+00:00,6.73,manifold
CalibratedGhosts,Archway,QgsNNzSRE0,"Will OpenAI release a super-app combining ChatGPT, Codex, and Atlass apps, before May 1 2026?",ai,YES,0.1242,0.0964,50.0,7,NO,2026-05-01T00:04:04.686000+00:00,-50.0,manifold
CalibratedGhosts,Archway,5gAECOClQg,VIX hits 40 by end of April?,event_by_date,NO,0.1172,0.121,50.0,7,NO,2026-05-01T00:32:23.003000+00:00,6.64,manifold
CalibratedGhosts,Archway,QgsNNzSRE0,"Will OpenAI release a super-app combining ChatGPT, Codex, and Atlass apps, before May 1 2026?",ai,YES,0.154,0.1242,50.0,7,NO,2026-05-01T00:04:04.686000+00:00,-50.0,manifold
CalibratedGhosts,Archway,hZ8ytzn9gh,R2 / V4-Thinking (DeepSeek) release date,ai,NO,0.548,0.666,20.0,1,MKT,2026-04-24T17:41:56.528000+00:00,-20.0,manifold
CalibratedGhosts,Archway,Sh9L8I2hcy,Will DeepSeek release V4 in April 2026?,ai,NO,0.456,0.777,50.0,1,YES,2026-04-24T21:55:37.765000+00:00,-50.0,manifold
CalibratedGhosts,Archway,Pd9O5t85hE,When will Deepseek V4 be released?,ai,NO,0.743,0.778,20.0,6,dE59uOLdpq,2026-04-29T21:09:39.832000+00:00,0.0,manifold
CalibratedGhosts,Archway,yLnQQZsc2E,V4 (DeepSeek) release date,ai,NO,0.733,0.829,15.0,0,MKT,2026-04-24T03:50:52.650000+00:00,-15.0,manifold
CalibratedGhosts,Archway,hZ8ytzn9gh,R2 / V4-Thinking (DeepSeek) release date,ai,NO,0.666,0.762,15.0,1,MKT,2026-04-24T17:41:56.528000+00:00,-15.0,manifold
CalibratedGhosts,Archway,l0Ags8CEAQ,Who will be in the top five picks of the 2026 NFL Draft?,sports,YES,0.816,0.762,40.0,0,MKT,2026-04-24T04:24:45.819000+00:00,9.02,manifold
CalibratedGhosts,Archway,l0Ags8CEAQ,Who will be in the top five picks of the 2026 NFL Draft?,sports,YES,0.416,0.262,30.0,0,MKT,2026-04-24T04:24:45.819000+00:00,-30.0,manifold
CalibratedGhosts,Archway,d6d6zngPcZ,Will the S&P500 be within 1% of all time high at the end of Apr 2026?,economics,YES,0.7,0.486,50.0,7,YES,2026-04-30T23:45:08.771000+00:00,21.43,manifold
CalibratedGhosts,Archway,zQ0c8OhSRs,Will a top ten pick be traded in the NFL Draft after the clock starts?,sports,YES,0.649,0.552,25.0,0,YES,2026-04-24T01:29:38.347000+00:00,13.52,manifold
CalibratedGhosts,Archway,Z550ZIUZA2,"Will gold close April 2026 above $4,500/oz?",commodity_price,YES,0.8397916001319419,0.7620382996374149,50.0,7,YES,2026-05-01T00:24:50.366000+00:00,9.54,manifold
CalibratedGhosts,Archway,UIz8PINcCZ,"Will WTI crude oil be above $90/barrel on April 30, 2026?",commodity_price,YES,0.7428392176905911,0.6620321999635508,30.0,7,YES,2026-05-01T00:24:54.151000+00:00,10.39,manifold
CalibratedGhosts,Archway,590POQhAnz,Will the S&P 500 be greater than or equal to X at the end of April 2026?,economics,YES,0.5396911639076304,0.44904999424178543,20.0,7,MKT,2026-04-30T20:35:11.271000+00:00,17.06,manifold
CalibratedGhosts,Archway,Ch2c9hPQS0,ChatGPT 5.5 Release Week: Will 5.5 release before this date?,misc,NO,0.523,0.977,20.0,1,MKT,2026-04-23T18:42:28.994000+00:00,-20.0,manifold
CalibratedGhosts,Archway,nLPdZR2d5d,Will King Charles' trip to the US be cancelled?,misc,NO,0.125,0.16,35.0,5,NO,2026-04-27T17:29:48.615000+00:00,5.0,manifold
CalibratedGhosts,Archway,pyOPUy9NEg,"Will COMEX Gold (June 2026) touch $5000.00 at any point before April 25, 2026?",event_by_date,NO,0.298,0.335,125.0,3,NO,2026-04-25T01:42:57.246000+00:00,53.06,manifold
CalibratedGhosts,Archway,l0Ags8CEAQ,Who will be in the top five picks of the 2026 NFL Draft?,sports,NO,0.369,0.4,25.0,2,MKT,2026-04-24T04:24:45.819000+00:00,14.62,manifold
CalibratedGhosts,Archway,Qyq8hhQO86,How many successful SpaceX launches in April 2026 UTC,misc,NO,0.924,0.946,25.0,9,N/A,2026-04-30T23:54:51.849000+00:00,0.0,manifold
CalibratedGhosts,Archway,l0Ags8CEAQ,Who will be in the top five picks of the 2026 NFL Draft?,sports,YES,0.24,0.187,10.0,2,MKT,2026-04-24T04:24:45.819000+00:00,-10.0,manifold
CalibratedGhosts,Archway,l0Ags8CEAQ,Who will be in the top five picks of the 2026 NFL Draft?,sports,YES,0.648,0.62,10.0,2,MKT,2026-04-24T04:24:45.819000+00:00,5.43,manifold
CalibratedGhosts,Archway,LgyP9tA8OC,Will Drake drop iceman in April 2026?,misc,NO,0.586,0.651,5.0,4,NO,2026-04-22T15:47:32.584000+00:00,7.08,manifold
CalibratedGhosts,Archway,ENchIURR8A,Price of Gold by the end of April?,commodity_price,YES,0.283,0.175,40.0,12,N/A,2026-05-01T07:02:14.489000+00:00,0.0,manifold
CalibratedGhosts,Archway,QsQUZ22Z28,Will Trump attempt to fire Jerome Powell before May 2026?,politics,YES,0.144,0.075,75.0,12,NO,2026-05-01T02:12:41.299000+00:00,-75.0,manifold
CalibratedGhosts,Archway,590POQhAnz,Will the S&P 500 be greater than or equal to X at the end of April 2026?,economics,YES,0.589,0.486,25.0,12,MKT,2026-04-30T20:35:11.271000+00:00,17.44,manifold
CalibratedGhosts,Archway,2Ncu6yN2nz,"Will Bitcoin close above $80,000 on April 30, 2026?",crypto,YES,0.733,0.301,100.0,12,NO,2026-05-01T10:46:03.189000+00:00,-100.0,manifold
CalibratedGhosts,Archway,0dISdh2U5R,"Will Brent Crude Oil close above $115 on April 20th, 2026?",commodity_price,NO,0.054,0.122,150.0,2,NO,2026-04-21T13:37:04.503000+00:00,8.56,manifold
CalibratedGhosts,Archway,sLIyIAnLLs,Will NVDA (Nvidia) close April 2026 above $170?,economics,YES,0.917,0.869,75.0,12,YES,2026-04-30T23:07:26.537000+00:00,6.79,manifold
CalibratedGhosts,Archway,5UZEQtgUQh,Chelyabinsk >-15C Feb 13,misc,YES,0.886,0.878,10.0,1,YES,2026-02-13T12:00:31.490000+00:00,1.29,manifold
CalibratedGhosts,Archway,c2pgcQOl6y,Another US govt shutdown before Feb 14,politics,YES,,,5.0,3,NO,2026-02-15T10:42:01.006000+00:00,-5.0,manifold
CalibratedGhosts,Archway,p2hsQpqyu0,US government fully reopen by Feb 12,misc,YES,,,20.0,0,YES,2026-02-12T03:15:51.382000+00:00,20.0,manifold
CalibratedGhosts,Archway,p2hsQpqyu0,Will the US federal government fully reopen by Feb 12?,misc,YES,,,100.0,0,YES,2026-02-12T03:15:51.382000+00:00,100.0,manifold
CalibratedGhosts,Archway,p2hsQpqyu0,Will the US federal government fully reopen by Feb 12?,misc,YES,,,25.0,0,YES,2026-02-12T03:15:51.382000+00:00,25.0,manifold
CalibratedGhosts,Archway,qt80EENhq0,Will DOGE claim 100 billion in verified spending cuts by June 2026?,politics,CREATED,,,100.0,0,CANCEL,2026-02-11T08:31:55.289000+00:00,0.0,manifold
